ID,Accession Number,Author-Supplied Keywords,Authors,Company/Entity,Cut and Paste,DOI,Document Type,Full Text Word Count,Geographic Terms,ISSN,Notes,People,Publication Model,Reviews & Products,Source,Subject Terms,Title,UR,Full Text (y/n)
PT-0011,153024043,4As Abstraction analytical framework computation computational social sciences digital humanities epistemology liberal arts,"Hall, Crystal^1 (AUTHOR)chall@bowdoin.edu Chown, Eric^1 (AUTHOR) Nascimento, Fernando^1 (AUTHOR)",BOWDOIN College,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153024043&site=ehost-live&scope=site"">A critical, analytical framework for the digital machine.</A> *Database: * Academic Search Premier",10.1080/03080188.2020.1865659,Article,8354,,0308-0188,,,,,"Interdisciplinary Science Reviews. Dec 2021, Vol. 46 Issue 4, p458-476. 19p.",*DIGITAL humanities *OPEN-ended questions *SKEPTICISM *MACHINERY,"A critical, analytical framework for the digital machine.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153024043&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153024043&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153024043&site=ehost-live&scope=site>,y
PT-0012,177246342,,"Zion-Waldoks, Tanyatanya.zion-waldoks@mail.huji.ac.il Irshai, RonitRonit.Irshai@biu.ac.il",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=177246342&site=ehost- live&scope=site"">""Orthodox Feminism = Religious Egoism""?! Theological Rabbinic Rhetoric As Illiberal Backlash To Religious Zionist Feminism In Israel.</A> *Database: * Academic Search Premier",10.2979/nsh.00005,Article,14926,,0793-8934,,,,,"Nashim: A Journal of Jewish Women's Studies & Gender Issues. Spring2024, Issue 43, p60-98. 39p.",*FEMINISM *EGOISM *RELIGIOUS Zionists *GENDER essentialism *NATIONALISM,"""Orthodox Feminism = Religious Egoism""?! Theological Rabbinic Rhetoric As Illiberal Backlash To Religious Zionist Feminism In Israel.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=177246342&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=177246342&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=177246342&site=ehost-live&scope=site>,y
PT-0013,145036170,,"Lapsley, Daniel^1 (AUTHOR)danlapsley@nd.edu Chaloner, Dominic^2 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036170&site=ehost-live&scope=site"">Post- truth and science identity: A virtue-based approach to science education.</A> *Database: * Academic Search Premier",10.1080/00461520.2020.1778480,Article,10615,,0046-1520,,,,,"Educational Psychologist. Jul-Sep2020, Vol. 55 Issue 3, p132-143. 12p. 1 Diagram.",*SCIENCE education *VIRTUE epistemology *IDENTITY (Psychology) *SELF-determination theory *BUSINESS education,Post-truth and science identity: A virtue-based approach to science education.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036170&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036170&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036170&site=ehost-live&scope=site>,y
PT-0014,156969227,,"Witus, Leah S.^1 (AUTHOR)lwitus@macalester.edu Larson, Erik^2 (AUTHOR)lwitus@macalester.edu",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156969227&site=ehost-live&scope=site"">A randomized controlled trial of a video intervention shows evidence of increasing COVID-19 vaccination intention.</A> *Database: * Academic Search Premier",10.1371/journal.pone.0267580,Article,7930,,1932-6203,,,,,"PLoS ONE. 5/19/2022, Vol. 17 Issue 5, p1-16. 16p.",*VIDEOS *COVID-19 pandemic *RANDOMIZED controlled trials *COVID-19 vaccines *VACCINE refusal *HEALTH attitudes *VACCINE hesitancy,A randomized controlled trial of a video intervention shows evidence of increasing COVID-19 vaccination intention.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156969227&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156969227&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156969227&site=ehost-live&scope=site>,y
PT-0015,155435422,Brexit cultural nationalism diaspora radical right Trump,"Leidig, Eviane^1 (AUTHOR)eviane.leidig@mf.no Ganesh, Bharath^2 (AUTHOR) Bright, Jonathan^3 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155435422&site=ehost-live&scope=site"">New forms of cultural nationalism? American and British Indians in the Trump and Brexit Twittersphere.</A> *Database: * Academic Search Premier",10.1111/nana.12781,Article,,,1354-5078,,"TRUMP, Donald, 1946-",,,"Nations & Nationalism. Jan2022, Vol. 28 Issue 1, p302-321. 20p.","*CULTURAL nationalism *RIGHT & left (Political science) *BRITISH Americans *BRITISH withdrawal from the European Union, 2016-2020 *DIASPORA *MASS media & politics *ISLAM & politics *MUSLIMS",New forms of cultural nationalism? American and British Indians in the Trump and Brexit Twittersphere.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155435422&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155435422&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155435422&site=ehost-live&scope=site>,n
PT-0016,154103926,Armenian genocide closed‐mindedness cosmopolitan justice Holocaust John Dewey virtue epistemology,,,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154103926&site=ehost-live&scope=site"">Open‐ Mindedness and the (Un)Controversial in Classrooms.</A> *Database: * Academic Search Premier",10.1111/edth.12496,Article,,,0013-2004,Journal available in UVA libraries,"DEWEY, John, 1859-1952",,,"Educational Theory. Oct2021, Vol. 71 Issue 5, p561-588. 28p.","*VIRTUE epistemology *HOLOCAUST denial *CARDINAL virtues *MORAL hazard *ARMENIAN genocide, 1915-1923 *GENOCIDE *METAPHOR",Open‐Mindedness and the (Un)Controversial in Classrooms.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154103926&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154103926&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154103926&site=ehost-live&scope=site>,y
PT-0017,137853794,,"Flyvbjerg, Bent^1 (AUTHOR)bent.flyvbjerg@sbs.ox.ac.uk Ansar, Atif^1 (AUTHOR) Budzier, Alexander^1 (AUTHOR) Buhl, Søren^1 (AUTHOR) Cantarelli, Chantal^1 (AUTHOR) Garbuio, Massimo^1 (AUTHOR) Glenting, Carsten^1 (AUTHOR) Holm, Mette Skamris^1 (AUTHOR) Lovallo, Dan^1 (AUTHOR) Molin, Eric^1 (AUTHOR) Rønnest, Arne^1 (AUTHOR) Stewart, Allison^1 (AUTHOR) van Wee, Bert^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=137853794&site=ehost-live&scope=site"">On de- bunking ""Fake News"" in the post-truth era: How to reduce statistical error in research.</A> *Database: * Academic Search Premier",10.1016/j.tra.2019.06.011,Article,,,0965-8564,,,,,"Transportation Research Part A: Policy & Practice. Aug2019, Vol. 126, p409-411. 3p.",*STATISTICAL errors *PSYCHOLOGY *SOCIAL psychology *POLITICAL science *COST overruns *COST estimates,"On de-bunking ""Fake News"" in the post-truth era: How to reduce statistical error in research.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=137853794&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=137853794&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=137853794&site=ehost-live&scope=site>,n
PT-0018,163891217,"""post‐truth,"" human/nonhuman relations Nicholas Gaskill Richard Rorty science studies","Voparil, Chrischris.voparil@myunion.edu",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163891217&site=ehost-live&scope=site"">Rorty, Science Studies, and the Politics of Post-Truth.</A> *Database: * Academic Search Premier",10.1215/0961754X-10046516,Article,9423,,0961-754X,,"RORTY, Richard, 1931-2007 GASKILL, Nicholas LATOUR, Bruno, 1947-2022",,,"Common Knowledge. Sep2022, Vol. 28 Issue 3, p402-423. 22p.",*PRAGMATISM *INTERPERSONAL relations,"Rorty, Science Studies, and the Politics of Post-Truth.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163891217&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163891217&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163891217&site=ehost-live&scope=site>,n
PT-0019,123886516,adult learning and education GRALE III popular education post-truth society,"Walters, Shirley^1 ferris@iafrica.com Watters, Kathy^1",UNESCO,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=123886516&site=ehost- live&scope=site"">Reflecting on the Global Report on Adult Learning and Education in the “Post-Truth Society”.</A> *Database: * Academic Search Premier",10.1177/0741713617700675,Article,4474,,0741-7136,,,,,"Adult Education Quarterly. Aug2017, Vol. 67 Issue 3, p228-237. 10p.",*ADULT learning *ADULT education *PHILOSOPHY *SUSTAINABLE development,Reflecting on the Global Report on Adult Learning and Education in the “Post-Truth Society”.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=123886516&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=123886516&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=123886516&site=ehost-live&scope=site>,y
PT-0020,161761092,affect Bonnie Honig Jacques Rancière Judith Butler nonviolence post-truth,"Woodford, Clare^1 (AUTHOR)c.woodford@brighton.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761092&site=ehost-live&scope=site"">Refusing post-truth with Butler and Honig.</A> *Database: * Academic Search Premier",10.1177/01914537221147845,Article,6169,,0191-4537,,"BUTLER, Judith, 1956- RANCIERE, Jacques, 1940-",,,"Philosophy & Social Criticism. Feb2023, Vol. 49 Issue 2, p218-229. 12p.",*FEMINISM *FEMINISTS *EMOTIONS *AFFECT (Psychology) *DEMOCRACY,Refusing post-truth with Butler and Honig.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761092&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761092&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761092&site=ehost-live&scope=site>,n
PT-0021,173345278,Baltic States Russian disinformation structural equation modeling threat of war trust in government,"Morkūnas, Mangirdas^1 (AUTHOR)mangirdas.morkunas@evaf.vu.lt",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=173345278&site=ehost-live&scope=site"">Russian Disinformation in the Baltics: Does it Really Work?</A> *Database: * Academic Search Premier",10.1080/10999922.2022.2092976,Article,,BALTIC States LITHUANIA,1099-9922,,,,,"Public Integrity. Nov/Dec2023, Vol. 25 Issue 6, p599-613. 15p.",*DISINFORMATION *STRUCTURAL equation modeling *CITIZENS,Russian Disinformation in the Baltics: Does it Really Work?,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=173345278&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=173345278&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=173345278&site=ehost-live&scope=site>,y
PT-0022,133141181,escapism guilt Nietzsche political romanticism post-truth Schmitt,"Kalpokas, Ignas^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=133141181&site=ehost-live&scope=site"">On guilt and post-truth escapism: Developing a theory.</A> *Database: * Academic Search Premier",10.1177/0191453718794752,Article,11084,,0191-4537,,"SCHMITT, Carl, 1888-1985 NIETZSCHE, Friedrich Wilhelm, 1844-1900",,,"Philosophy & Social Criticism. Dec2018, Vol. 44 Issue 10, p1127-1147. 21p.",*GUILT (Psychology) *DEBT *ROMANTICISM & politics,On guilt and post-truth escapism: Developing a theory.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=133141181&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=133141181&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=133141181&site=ehost-live&scope=site>,n
PT-0023,160731934,Deliberative democracy Institutions Jürgen Habermas Ota Weinberger Positivism,"Sekerák, Marián^1 (AUTHOR)marian.sekerak@ambis.cz",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160731934&site=ehost-live&scope=site"">Ota Weinberger’s conception of democracy: reconstructing an unexplored political theory.</A> *Database: * Academic Search Premier",10.1007/s11212-022-09528-4,Article,,,0925-9392,,,Ahead of Print,,"Studies in East European Thought. Dec2022, p1-17.",,Ota Weinberger’s conception of democracy: reconstructing an unexplored political theory.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160731934&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160731934&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160731934&site=ehost-live&scope=site>,n
